pedestrianID,pedestrian_moving_model,generated_time,current_traveling_period,generated_position,died_position,distnation_nodeID,assigned_passage_nodes,status
ag00194,Plain,483,1.0,11.477442121145188,0.0,96,,evacuated
ag00099,Plain,248,1.0,55.58885026853513,0.0,100,,evacuated
ag00195,Plain,486,1.0,12.098727747902103,0.0,100,,evacuated
ag00192,Plain,475,1.0,21.728980666824313,0.0,100,,evacuated
ag00097,Plain,246,1.0,86.20697227059006,0.0,100,,evacuated
ag00193,Plain,479,1.0,94.62573972891832,0.0,100,,evacuated
ag00098,Plain,247,1.0,96.62443380531889,0.0,100,,evacuated
ag00190,Plain,473,1.0,48.999957630564445,0.0,96,,evacuated
ag00191,Plain,474,1.0,41.338772857272495,0.0,100,,evacuated
ag00091,Plain,232,1.0,75.41094350838354,0.0,100,,evacuated
ag00092,Plain,235,1.0,7.218884876724644,0.0,100,,evacuated
ag00090,Plain,231,1.0,22.459514626813558,0.0,100,,evacuated
ag00198,Plain,494,1.0,50.71040465596352,0.0,100,,evacuated
ag00095,Plain,244,1.0,47.412588503486816,0.0,100,,evacuated
ag00199,Plain,496,1.0,67.34889587237869,0.0,96,,evacuated
ag00096,Plain,245,1.0,77.64174277966514,0.0,100,,evacuated
ag00196,Plain,491,1.0,76.02087400803072,0.0,100,,evacuated
ag00093,Plain,239,1.0,69.36538185275649,0.0,100,,evacuated
ag00197,Plain,494,1.0,92.15375867729277,0.0,96,,evacuated
ag00094,Plain,240,1.0,0.3222314432601081,0.0,100,,evacuated
ag00086,Plain,223,1.0,27.344363677994778,0.0,100,,evacuated
ag00181,Plain,451,1.0,91.34182375335543,0.0,100,,evacuated
ag00087,Plain,224,1.0,71.09139583601913,0.0,100,,evacuated
ag00182,Plain,454,1.0,93.94943767017591,0.0,96,,evacuated
ag00088,Plain,224,1.0,92.17451209450007,0.0,100,,evacuated
ag00183,Plain,460,1.0,42.03918098647107,0.0,96,,evacuated
ag00089,Plain,226,1.0,16.86113371691941,0.0,100,,evacuated
ag00184,Plain,462,1.0,59.89748516582349,0.0,96,,evacuated
ag00180,Plain,444,1.0,86.73996499957144,0.0,100,,evacuated
ag00189,Plain,472,1.0,49.30169670457644,0.0,100,,evacuated
ag00080,Plain,216,1.0,27.303767869192413,0.0,100,,evacuated
ag00081,Plain,217,1.0,55.931758293735385,0.0,100,,evacuated
ag00082,Plain,218,1.0,93.19688009851828,0.0,100,,evacuated
ag00185,Plain,463,1.0,38.234477958607854,0.0,100,,evacuated
ag00083,Plain,218,1.0,71.59590756067766,0.0,100,,evacuated
ag00186,Plain,465,1.0,55.34902379419251,0.0,96,,evacuated
ag00084,Plain,220,1.0,77.34913564164296,0.0,100,,evacuated
ag00187,Plain,465,1.0,34.22221723606076,0.0,100,,evacuated
ag00085,Plain,222,1.0,92.51057389303496,0.0,100,,evacuated
ag00188,Plain,471,1.0,56.46530098479077,0.0,96,,evacuated
ag00079,Plain,214,1.0,52.150699746046975,0.0,100,,evacuated
