1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
2,1,R1_CHECK3,ADD_STOP,20:32:00,,#
3,1,R1_CHECK3,REMOVE_STOP,20:35:00,,#
4,1,R1_CHECK3,ADD_STOP,20:36:00,,#
5,1,R1_CHECK3,REMOVE_STOP,20:39:00,,#
6,1,R1_CHECK3,ADD_STOP,20:40:00,,#
7,1,R1_CHECK3,REMOVE_STOP,20:43:00,,#
8,1,R1_CHECK3,ADD_STOP,20:44:00,,#
9,1,R1_CHECK3,REMOVE_STOP,20:47:00,,#
10,1,R1_CHECK3,ADD_STOP,20:48:00,,#
11,1,R1_CHECK3,REMOVE_STOP,20:51:00,,#
12,1,R1_CHECK3,ADD_STOP,20:52:00,,#
13,1,R1_CHECK3,REMOVE_STOP,20:55:00,,#
14,1,R1_CHECK3,ADD_STOP,20:56:00,,#
15,1,R1_CHECK3,REMOVE_STOP,20:59:00,,#
16,1,R1_CHECK3,ADD_STOP,21:00:00,,#
17,1,R1_CHECK3,REMOVE_STOP,21:03:00,,#
18,1,R1_CHECK3,ADD_STOP,21:04:00,,#
19,1,R1_CHECK3,REMOVE_STOP,21:07:00,,#
20,1,R1_CHECK3,ADD_STOP,21:08:00,,#
21,1,R1_CHECK3,REMOVE_STOP,21:11:00,,#
22,1,R1_CHECK3,ADD_STOP,21:12:00,,#
23,1,R1_CHECK3,REMOVE_STOP,21:15:00,,#
24,1,R1_CHECK3,ADD_STOP,21:16:00,,#
25,1,R1_CHECK3,REMOVE_STOP,21:19:00,,#
26,1,R1_CHECK3,ADD_STOP,21:20:00,,#
27,1,R1_CHECK3,REMOVE_STOP,21:23:00,,#
28,1,R1_CHECK3,ADD_STOP,21:24:00,,#
29,1,R1_CHECK3,REMOVE_STOP,21:27:00,,#
30,1,R1_CHECK3,ADD_STOP,21:28:00,,#
31,1,R1_CHECK3,REMOVE_STOP,21:31:00,,#
32,1,R1_CHECK3,ADD_STOP,21:32:00,,#
33,1,R1_CHECK3,REMOVE_STOP,21:35:00,,#
34,1,R1_CHECK3,ADD_STOP,21:36:00,,#
35,1,R1_CHECK3,REMOVE_STOP,21:39:00,,#
36,1,R1_CHECK3,ADD_STOP,21:40:00,,#
37,1,R1_CHECK3,REMOVE_STOP,21:43:00,,#
38,1,R1_CHECK3,REMOVE_STOP,21:44:00,,#
39,1,R1_CHECK3,ADD_STOP,21:47:00,,#
40,1,R1_CHECK3,REMOVE_STOP,21:48:00,,#
41,1,R1_CHECK3,ADD_STOP,21:51:00,,#
42,1,R1_CHECK3,REMOVE_STOP,21:52:00,,#
43,1,R1_CHECK3,ADD_STOP,21:55:00,,#
44,1,R1_CHECK3,REMOVE_STOP,21:56:00,,#
45,1,R1_CHECK3,ADD_STOP,21:59:00,,#
46,1,R1_CHECK3,REMOVE_STOP,22:00:00,,#
47,1,R1_CHECK3,ADD_STOP,22:03:00,,#
48,1,R1_CHECK3,REMOVE_STOP,22:04:00,,#
49,1,R1_CHECK3,ADD_STOP,22:07:00,,#
50,1,R1_CHECK3,REMOVE_STOP,22:08:00,,#
51,1,R1_CHECK3,REMOVE_STOP,22:11:00,,#
52,1,R1_CHECK3,ADD_STOP,22:12:00,,#
53,1,R1_CHECK3,REMOVE_STOP,22:15:00,,#
54,1,R1_CHECK3,ADD_STOP,22:16:00,,#
55,1,R1_CHECK3,REMOVE_STOP,22:19:00,,#
56,1,R1_CHECK2,ADD_STOP,20:33:30,,#
57,1,R1_CHECK2,REMOVE_STOP,20:36:30,,#
58,1,R1_CHECK2,ADD_STOP,20:37:30,,#
59,1,R1_CHECK2,REMOVE_STOP,20:40:30,,#
60,1,R1_CHECK2,ADD_STOP,20:41:30,,#
61,1,R1_CHECK2,REMOVE_STOP,20:44:30,,#
62,1,R1_CHECK2,ADD_STOP,20:45:30,,#
63,1,R1_CHECK2,REMOVE_STOP,20:48:30,,#
64,1,R1_CHECK2,ADD_STOP,20:49:30,,#
65,1,R1_CHECK2,REMOVE_STOP,20:52:30,,#
66,1,R1_CHECK2,ADD_STOP,20:53:30,,#
67,1,R1_CHECK2,REMOVE_STOP,20:56:30,,#
68,1,R1_CHECK2,ADD_STOP,20:57:30,,#
69,1,R1_CHECK2,REMOVE_STOP,21:00:30,,#
70,1,R1_CHECK2,ADD_STOP,21:01:30,,#
71,1,R1_CHECK2,REMOVE_STOP,21:04:30,,#
72,1,R1_CHECK2,ADD_STOP,21:05:30,,#
73,1,R1_CHECK2,REMOVE_STOP,21:08:30,,#
74,1,R1_CHECK2,ADD_STOP,21:09:30,,#
75,1,R1_CHECK2,REMOVE_STOP,21:12:30,,#
76,1,R1_CHECK2,ADD_STOP,21:13:30,,#
77,1,R1_CHECK2,REMOVE_STOP,21:16:30,,#
78,1,R1_CHECK2,ADD_STOP,21:17:30,,#
79,1,R1_CHECK2,REMOVE_STOP,21:20:30,,#
80,1,R1_CHECK2,ADD_STOP,21:21:30,,#
81,1,R1_CHECK2,REMOVE_STOP,21:24:30,,#
82,1,R1_CHECK2,ADD_STOP,21:25:30,,#
83,1,R1_CHECK2,REMOVE_STOP,21:28:30,,#
84,1,R1_CHECK2,ADD_STOP,21:29:30,,#
85,1,R1_CHECK2,REMOVE_STOP,21:32:30,,#
86,1,R1_CHECK2,ADD_STOP,21:33:30,,#
87,1,R1_CHECK2,REMOVE_STOP,21:36:30,,#
88,1,R1_CHECK2,ADD_STOP,21:37:30,,#
89,1,R1_CHECK2,REMOVE_STOP,21:40:30,,#
90,1,R1_CHECK2,ADD_STOP,21:41:30,,#
91,1,R1_CHECK2,REMOVE_STOP,21:44:30,,#
92,1,R1_CHECK2,REMOVE_STOP,21:45:30,,#
93,1,R1_CHECK2,ADD_STOP,21:48:30,,#
94,1,R1_CHECK2,REMOVE_STOP,21:49:30,,#
95,1,R1_CHECK2,ADD_STOP,21:52:30,,#
96,1,R1_CHECK2,REMOVE_STOP,21:53:30,,#
97,1,R1_CHECK2,ADD_STOP,21:56:30,,#
98,1,R1_CHECK2,REMOVE_STOP,21:57:30,,#
99,1,R1_CHECK2,ADD_STOP,22:00:30,,#
100,1,R1_CHECK2,REMOVE_STOP,22:01:30,,#
101,1,R1_CHECK2,ADD_STOP,22:04:30,,#
102,1,R1_CHECK2,REMOVE_STOP,22:05:30,,#
103,1,R1_CHECK2,ADD_STOP,22:08:30,,#
