1,0,START,,23:59:55,,#ŽÀŒ±ŠJŽn
2,1,R1_CHECK3,ADD_STOP,00:00:00,,#
3,1,R1_CHECK3,REMOVE_STOP,00:01:00,,#
4,1,R1_CHECK3,ADD_STOP,00:04:00,,#
5,1,R1_CHECK3,REMOVE_STOP,00:05:00,,#
6,1,R1_CHECK3,ADD_STOP,00:08:00,,#
7,1,R1_CHECK3,REMOVE_STOP,00:09:00,,#
8,1,R1_CHECK3,ADD_STOP,00:12:00,,#
9,1,R1_CHECK3,REMOVE_STOP,00:13:00,,#
10,1,R1_CHECK3,ADD_STOP,00:16:00,,#
11,1,R1_CHECK3,REMOVE_STOP,00:17:00,,#
12,1,R1_CHECK3,ADD_STOP,00:20:00,,#
13,1,R1_CHECK3,REMOVE_STOP,00:21:00,,#
14,1,R1_CHECK3,ADD_STOP,00:24:00,,#
15,1,R1_CHECK3,REMOVE_STOP,00:25:00,,#
16,1,R1_CHECK3,ADD_STOP,00:28:00,,#
17,1,R1_CHECK3,REMOVE_STOP,00:29:00,,#
18,1,R1_CHECK3,ADD_STOP,00:32:00,,#
19,1,R1_CHECK3,REMOVE_STOP,00:33:00,,#
20,1,R1_CHECK3,ADD_STOP,00:36:00,,#
21,1,R1_CHECK3,REMOVE_STOP,00:37:00,,#
22,1,R1_CHECK3,ADD_STOP,00:40:00,,#
23,1,R1_CHECK3,REMOVE_STOP,00:41:00,,#
24,1,R1_CHECK3,ADD_STOP,00:44:00,,#
25,1,R1_CHECK3,REMOVE_STOP,00:45:00,,#
26,1,R1_CHECK3,ADD_STOP,00:48:00,,#
27,1,R1_CHECK3,REMOVE_STOP,00:49:00,,#
28,1,R1_CHECK3,ADD_STOP,00:52:00,,#
29,1,R1_CHECK3,REMOVE_STOP,00:53:00,,#
30,1,R1_CHECK3,ADD_STOP,00:56:00,,#
