1,0,START,,19:40:00,,#ŽÀŒ±ŠJŽn
2,1,R1_CHECK3,ADD_STOP,20:49:05,,#
3,1,R1_CHECK3,REMOVE_STOP,20:52:30,,#
4,1,R1_CHECK3,ADD_STOP,20:54:00,,#
5,1,R1_CHECK3,REMOVE_STOP,20:54:10,,#
6,1,R1_CHECK3,ADD_STOP,20:54:30,,#
7,1,R1_CHECK3,REMOVE_STOP,20:58:30,,#
8,1,R1_CHECK3,ADD_STOP,21:02:20,,#
9,1,R1_CHECK3,REMOVE_STOP,21:08:15,,#
10,1,R1_CHECK3,ADD_STOP,21:11:55,,#
11,1,R1_CHECK3,REMOVE_STOP,21:17:25,,#
12,1,R1_CHECK3,ADD_STOP,21:19:15,,#
13,1,R1_CHECK3,REMOVE_STOP,21:28:10,,#
14,1,R1_CHECK3,ADD_STOP,21:29:55,,#
15,1,R1_CHECK3,REMOVE_STOP,21:33:00,,#
16,1,R1_CHECK3,ADD_STOP,21:37:50,,#
17,1,R1_CHECK3,REMOVE_STOP,21:39:10,,#
18,1,R1_CHECK3,ADD_STOP,21:42:40,,#
19,1,R1_CHECK3,REMOVE_STOP,21:46:15,,#
20,1,R1_CHECK3,ADD_STOP,21:48:55,,#
21,1,R1_CHECK3,REMOVE_STOP,21:50:40,,#
22,1,R1_CHECK3,ADD_STOP,21:53:50,,#
23,1,R1_CHECK3,REMOVE_STOP,21:59:30,,#
24,1,R1_CHECK3,ADD_STOP,22:02:00,,#
25,1,R1_CHECK3,REMOVE_STOP,22:05:00,,#
26,1,R1_CHECK3,ADD_STOP,22:08:35,,#
27,1,R1_CHECK3,REMOVE_STOP,22:09:30,,#
28,1,R1_CHECK3,ADD_STOP,22:13:45,,#
29,1,R1_CHECK3,REMOVE_STOP,22:16:00,,#
30,1,R1_CHECK3,ADD_STOP,22:17:40,,#
31,1,R1_CHECK3,REMOVE_STOP,22:23:00,,#
32,1,R1_CHECK3,ADD_STOP,22:24:40,,#
33,1,R1_CHECK3,REMOVE_STOP,22:25:05,,#
34,1,R1_CHECK3,ADD_STOP,22:28:25,,#
35,1,R1_CHECK3,REMOVE_STOP,22:29:10,,#
111,1,R2_CHECK3,ADD_STOP,20:44:10,,#
112,1,R2_CHECK3,REMOVE_STOP,20:49:15,,#
113,1,R2_CHECK3,ADD_STOP,20:54:00,,#
114,1,R2_CHECK3,REMOVE_STOP,20:56:15,,#
115,1,R2_CHECK3,ADD_STOP,20:59:35,,#
116,1,R2_CHECK3,REMOVE_STOP,21:05:10,,#
117,1,R2_CHECK3,ADD_STOP,21:09:05,,#
118,1,R2_CHECK3,REMOVE_STOP,21:16:05,,#
119,1,R2_CHECK3,ADD_STOP,21:17:55,,#
120,1,R2_CHECK3,REMOVE_STOP,21:22:10,,#
121,1,R2_CHECK3,ADD_STOP,21:26:00,,#
122,1,R2_CHECK3,REMOVE_STOP,21:29:20,,#
123,1,R2_CHECK3,ADD_STOP,21:31:20,,#
124,1,R2_CHECK3,REMOVE_STOP,21:36:50,,#
125,1,R2_CHECK3,ADD_STOP,21:39:25,,#
126,1,R2_CHECK3,REMOVE_STOP,21:44:20,,#
127,1,R2_CHECK3,ADD_STOP,21:46:55,,#
128,1,R2_CHECK3,REMOVE_STOP,21:48:35,,#
129,1,R2_CHECK3,ADD_STOP,21:51:20,,#
130,1,R2_CHECK3,REMOVE_STOP,21:57:00,,#
131,1,R2_CHECK3,ADD_STOP,21:59:50,,#
132,1,R2_CHECK3,REMOVE_STOP,22:03:10,,#
133,1,R2_CHECK3,ADD_STOP,22:05:45,,#
